r,l,t
-62876.207274,500,2165.994402
-10129.159498,500,2167.40032
2424.587416,500,2168.901859
9527.172532,500,2170.33414
-2986.5711,500,2171.834293
4521.037302,500,2173.388233
-20380.726685,500,2174.850679
3079.791662,500,2176.378676
14734.714489,500,2177.928526
14862.907161,500,2179.583355
9843.145886,500,2181.183187
9050.414768,500,2182.50989
12901.088379,500,2183.970768
9666.803601,500,2185.463074
10215.816041,500,2186.943404
12686.540076,500,2188.526497
11147.584559,500,2190.082966
10435.825334,500,2191.500303
7473.396401,500,2192.978727
11525.802781,500,2194.399033
6002.206154,500,2195.771109
6832.840986,500,2197.159717
4852.865843,500,2198.722555
4959.213509,500,2200.205525
-26435.704316,500,2201.788646
-17216.532509,500,2203.328707
8004.874876,500,2204.813608
7522.036744,500,2206.226567
8680.940647,500,2207.662826
8238.377985,500,2209.060073
6275.314835,500,2210.523264
8993.786516,500,2211.951648
9034.574304,500,2213.515151
6932.344125,500,2215.315141
-10285.787518,500,2217.106903
10269.837765,500,2218.747931
4018.034441,500,2220.289286
9902.889343,500,2221.749213
7854.476175,500,2223.3098
4307.155602,500,2224.649246
7870.446503,500,2226.249759
7679.362679,500,2227.91161
472.450111,500,2229.621631
-4272.493229,500,2231.259497
2480.648047,500,2232.846847
-1448.233035,500,2234.49284
-470.833717,500,2235.902167
1026.231539,500,2237.300247
3991.854144,500,2238.688346
-1910.425003,500,2240.080395
5880.759204,500,2241.475631
740.474116,500,2242.861792
4170.601985,500,2244.274827
-6259.716101,500,2245.665605
-13695.03218,500,2247.05084
-616.606419,500,2248.440599
3805.194934,500,2249.837678
-1000.812752,500,2251.23563
-2128.334655,500,2252.625466
8549.449631,500,2254.03294
35511.472746,500,2255.437548
44188.383147,500,2256.825649
45550.215919,500,2258.211121
48239.126215,500,2259.603194
46403.193866,500,2260.984636
46819.977469,500,2262.386272
46102.513254,500,2263.793903
46970.263999,500,2265.189672
45548.027405,500,2266.584808
45671.2811,500,2267.976595
46790.775046,500,2269.373551
48191.49393,500,2270.758867
46656.269767,500,2272.154648
46223.32318,500,2273.569312
45548.027405,500,2274.965221
45350.554391,500,2276.360966
45671.2811,500,2277.751854
45350.554391,500,2279.138328
45053.528678,500,2280.531921
46656.269767,500,2281.917901
45000.0,500,2283.316981
45962.198016,500,2284.730046
45350.554391,500,2286.133554
45671.2811,500,2287.542458
45000.0,500,2288.933214
45000.0,500,2290.332268
45000.0,500,2291.733034
45000.0,500,2293.139896
45000.0,500,2294.727199
45000.0,500,2296.353256
45000.0,500,2297.914862
45000.0,500,2299.270329
45000.0,500,2300.74782
45000.0,500,2302.238378
45000.0,500,2303.569168
45000.0,500,2305.001785
45000.0,500,2306.427464
45000.0,500,2307.839862
45000.0,500,2309.28841
45000.0,500,2310.679846
