r,l,t
4890.623697,50,124.545383
3257.825649,50,124.655256
2481.204885,50,124.770093
408.737485,50,124.88278
-23201.322918,50,125.000117
-13049.744582,50,125.114026
4351.410368,50,125.228675
2114.056832,50,125.344118
4445.038669,50,125.458858
-16034.184444,50,125.569374
-15264.969503,50,125.683861
3101.158633,50,125.802581
587.872176,50,125.914129
-1899.571057,50,126.033362
4990.461141,50,126.148566
-10619.895947,50,126.275417
-9417.962016,50,126.401028
-2992.729893,50,126.514745
-15005.26559,50,126.631588
-9801.37274,50,126.75015
1173.009771,50,126.867055
1301.100474,50,126.978374
449.587171,50,127.104797
250.28898,50,127.225134
1745.667608,50,127.349984
6702.537809,50,127.464174
-3209.603555,50,127.603616
3638.746911,50,127.741496
110.032377,50,127.865797
2538.308984,50,128.003045
879.581202,50,128.124086
4899.239218,50,128.252818
3873.893039,50,128.38109
-26912.91146,50,128.522498
4832.125882,50,128.657925
198.834245,50,128.783634
5601.444793,50,128.902524
2186.289827,50,129.042833
-8536.258093,50,129.165996
1393.394066,50,129.306772
2409.157703,50,129.431431
5256.48463,50,129.560342
-5770.268343,50,129.690385
1123.574976,50,129.81146
-4674.755091,50,129.93114
-4041.703168,50,130.049366
3959.185919,50,130.178384
4704.990282,50,130.326247
-7032.764915,50,130.467561
1164.40148,50,130.605133
-541.46964,50,130.719952
-4782.402943,50,130.836971
1542.178791,50,130.966286
344.851904,50,131.098398
6416.204719,50,131.241834
5353.398583,50,131.383822
-3006.404761,50,131.518598
-25317.819305,50,131.641588
6737.058545,50,131.78146
6778.826317,50,131.930821
-8685.146942,50,132.073391
-4207.27913,50,132.215037
5125.567637,50,132.355491
5574.910423,50,132.468865
734.650023,50,132.623644
2622.966326,50,132.742399
-5557.148901,50,132.863906
-17499.812005,50,133.009511
-8371.769881,50,133.136062
-2658.904186,50,133.262366
4078.55066,50,133.394126
5373.782729,50,133.528909
717.036589,50,133.648198
-200.579688,50,133.7644
4127.731039,50,133.869065
3122.390117,50,133.981912
3334.108557,50,134.088536
-1185.247795,50,134.194571
419.593191,50,134.324657
-12237.175167,50,134.446046
4894.20183,50,134.554079
26.125848,50,134.690899
-853.793974,50,134.805832
-49.207347,50,134.915817
-19317.170238,50,135.030473
6189.822817,50,135.140057
-6147.419712,50,135.260019
3725.040815,50,135.373111
1380.742327,50,135.485714
1020.624093,50,135.596022
2891.586464,50,135.708489
2371.522069,50,135.822315
2524.959761,50,135.934586
-7519.779874,50,136.050498
-2232.4762,50,136.167213
3759.521566,50,136.281634
2195.955138,50,136.395828
418.350375,50,136.507552
4201.486512,50,136.620161
3352.418671,50,136.733307
