episode,q_loss
0,
1,
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
20,
21,
22,
23,
24,
25,
26,
27,
28,
29,
30,
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
101,
102,
103,
104,28856.55859375
105,28856.55859375
106,28856.55859375
107,28856.55859375
108,27427.875
109,27427.875
110,27427.875
111,27427.875
112,23551.98046875
113,23551.98046875
114,23551.98046875
115,23551.98046875
116,26819.505859375
117,26819.505859375
118,26819.505859375
119,26819.505859375
120,24527.97265625
121,24527.97265625
122,24527.97265625
123,24527.97265625
124,25924.75390625
125,25924.75390625
126,25924.75390625
127,25924.75390625
128,26298.64453125
129,26298.64453125
130,26298.64453125
131,26298.64453125
132,24170.025390625
133,24170.025390625
134,24170.025390625
135,24170.025390625
136,19074.18359375
137,19074.18359375
138,19074.18359375
139,19074.18359375
140,19406.521484375
141,19406.521484375
142,19406.521484375
143,19406.521484375
144,18414.853515625
145,18414.853515625
146,18414.853515625
147,18414.853515625
148,18729.388671875
149,18729.388671875
150,18729.388671875
151,18729.388671875
152,19605.943359375
153,19605.943359375
154,19605.943359375
155,19605.943359375
156,17802.0546875
157,17802.0546875
158,17802.0546875
159,17802.0546875
160,18195.849609375
161,18195.849609375
162,18195.849609375
163,18195.849609375
164,19583.361328125
165,19583.361328125
166,19583.361328125
167,19583.361328125
168,15946.3232421875
169,15946.3232421875
170,15946.3232421875
171,15946.3232421875
172,18625.015625
173,18625.015625
174,18625.015625
175,18625.015625
176,15826.861328125
177,15826.861328125
178,15826.861328125
179,15826.861328125
180,15994.765625
181,15994.765625
182,15994.765625
183,15994.765625
184,13680.2275390625
185,13680.2275390625
186,13680.2275390625
187,13680.2275390625
188,13894.107421875
189,13894.107421875
190,13894.107421875
191,13894.107421875
192,15850.1611328125
193,15850.1611328125
194,15850.1611328125
195,15850.1611328125
196,15676.37890625
197,15676.37890625
198,15676.37890625
199,15676.37890625
200,13168.587890625
201,13168.587890625
202,13168.587890625
203,13168.587890625
204,13995.228515625
205,13995.228515625
206,13995.228515625
207,13995.228515625
208,11331.3623046875
209,11331.3623046875
210,11331.3623046875
211,11331.3623046875
212,12038.634765625
213,12038.634765625
214,12038.634765625
215,12038.634765625
216,13298.0556640625
217,13298.0556640625
218,13298.0556640625
219,13298.0556640625
220,10585.1279296875
221,10585.1279296875
222,10585.1279296875
223,10585.1279296875
224,6915.3603515625
225,6915.3603515625
226,6915.3603515625
