r,l,t
-82830.798348,500,2319.575233
-99721.554289,500,2320.411782
-102128.268285,500,2322.058508
-92013.64948,500,2322.971775
-94510.137746,500,2324.68186
-95230.469963,500,2325.629208
-101606.421786,500,2327.261827
-92431.233569,500,2328.242775
-94683.159167,500,2329.979752
-95694.880445,500,2330.971337
-93372.086005,500,2332.572641
-93655.69656,500,2333.504785
-98561.722574,500,2335.165358
-86803.978647,500,2336.120816
-88659.919963,500,2337.77469
-101794.940908,500,2338.795656
-102411.797014,500,2340.482635
-90983.505291,500,2341.462446
-85943.159873,500,2343.209749
-93167.595452,500,2344.164865
-78669.571554,500,2345.752563
-98418.046933,500,2346.681152
-80528.408936,500,2348.284774
-90892.877965,500,2349.137591
-106640.860643,500,2350.664674
-84742.332889,500,2351.565978
-80598.219072,500,2353.113986
-95920.655186,500,2353.940052
-89433.749178,500,2355.490251
-75934.557073,500,2356.408588
-90221.790256,500,2357.926719
-88568.751885,500,2358.768143
-80531.94469,500,2360.252176
-90283.0729,500,2361.084869
-77979.484174,500,2362.618094
-77756.878186,500,2363.459689
-87107.645717,500,2364.981384
-90053.861511,500,2365.826455
-89601.755567,500,2367.376976
-85267.237403,500,2368.204446
-74882.363875,500,2369.796935
-93800.106081,500,2370.64012
-85255.660257,500,2371.532658
-81465.094367,500,2373.1752
-89897.339671,500,2374.028388
-80804.286472,500,2375.669523
-77217.572008,500,2376.572097
-88171.125016,500,2378.199515
-95584.273585,500,2379.121565
-75603.931833,500,2380.743065
-72288.002833,500,2381.588967
-81304.649065,500,2383.184865
-74191.209287,500,2384.006007
-86471.474297,500,2385.606061
-89819.509089,500,2386.46799
-90029.90956,500,2388.062431
-77953.391815,500,2388.924416
-86028.478274,500,2390.501424
-79602.084448,500,2391.373185
-84552.421833,500,2392.989041
-89574.226109,500,2393.880783
-79620.701863,500,2395.570827
-76368.605549,500,2396.46542
-77590.381456,500,2398.063492
-70148.440667,500,2398.87858
-82300.691099,500,2400.507733
-73504.845593,500,2401.458397
-73700.261054,500,2403.018751
-74416.532606,500,2403.950509
-63777.294453,500,2405.644949
-80993.016512,500,2406.552781
-78973.265144,500,2408.163614
-72692.242243,500,2409.078926
-79558.193476,500,2410.679449
-68412.359254,500,2411.579102
-73777.958616,500,2413.219966
-78100.076703,500,2414.079997
-78607.387823,500,2415.743588
-77941.100644,500,2416.666668
-85038.306735,500,2418.282477
-75476.187723,500,2419.224778
-62018.28223,500,2420.954009
-76905.156027,500,2421.835267
-67947.267846,500,2423.471795
-82679.699961,500,2424.450464
-78012.961261,500,2425.394606
-80062.542191,500,2427.068532
-65899.257943,500,2428.02824
-69513.45377,500,2429.738919
-66987.550852,500,2430.691016
-66714.286758,500,2432.306051
-77100.359011,500,2433.25554
-76897.733467,500,2434.939197
-72181.484845,500,2435.924002
-67680.990854,500,2437.531378
-68715.897706,500,2438.469287
-78319.008822,500,2440.150661
-82932.987103,500,2441.087635
-78282.76308,500,2442.748648
-69063.955356,500,2443.657983
