r,l,t
7849.316519,50,544.154552
5740.119936,50,544.260863
5420.315517,50,544.352337
9271.216473,50,544.444024
7727.518127,50,544.539235
1743.529686,50,544.634254
5184.913422,50,544.732457
7219.816371,50,544.837919
3308.421763,50,544.938178
7622.543456,50,545.049382
6194.628981,50,545.152614
7404.59308,50,545.267236
5401.315946,50,545.381837
6867.072871,50,545.486883
4525.332333,50,545.5776
5110.355961,50,545.671835
6230.333749,50,545.76843
6340.19339,50,545.85444
7141.021336,50,546.680274
8265.231416,50,546.78096
8606.108252,50,546.877005
5988.643709,50,546.969878
5814.446457,50,547.05939
7847.121479,50,547.156179
6089.941126,50,547.259664
7468.295749,50,547.354271
8433.821698,50,547.455465
7490.509579,50,547.568176
7564.918986,50,547.661412
6973.884136,50,547.75485
4618.665993,50,547.84009
1882.855539,50,547.93912
5569.240257,50,548.040852
8134.80144,50,548.126543
4882.174274,50,548.24029
2829.15512,50,548.357605
5906.861344,50,548.461999
5976.18565,50,548.551394
8379.181486,50,548.647215
5662.023533,50,549.381736
4804.292752,50,549.477956
7007.404049,50,549.5658
7849.115893,50,549.652553
4199.757608,50,549.741665
7672.25197,50,549.830624
7830.965327,50,549.936501
7808.11573,50,550.048548
7040.360779,50,550.14572
6457.694224,50,550.259758
683.429846,50,550.354738
-341.535413,50,550.4664
8826.823299,50,550.557851
7065.55801,50,550.64847
7028.513908,50,550.745576
3264.46606,50,550.849064
5893.073545,50,550.952785
3305.710592,50,551.034719
7333.4113,50,551.136205
9652.997693,50,551.231809
3654.025002,50,551.980422
7746.164403,50,552.070594
6559.003867,50,552.16469
8576.138279,50,552.27285
8304.853593,50,552.388119
6524.296955,50,552.491225
5708.881605,50,552.594184
4703.400488,50,552.685045
7455.872406,50,552.786462
6264.266138,50,552.891484
2648.194723,50,552.990704
6387.433015,50,553.070983
5848.611874,50,553.169286
3733.328243,50,553.262822
8468.57957,50,553.34564
7060.220792,50,553.437714
6251.659964,50,553.528461
9423.85485,50,553.610369
9163.829817,50,553.718741
7938.617927,50,553.816318
9240.756557,50,553.902673
4414.888173,50,554.733441
5819.888374,50,554.951922
7048.844214,50,555.055763
8503.670562,50,555.163313
7590.976581,50,555.292305
5151.602164,50,555.397266
3307.516812,50,555.498721
10691.546751,50,555.597921
6291.849043,50,555.691528
3235.226016,50,555.798721
7665.305558,50,555.886336
4635.770431,50,555.977621
7514.497702,50,556.067672
8819.481692,50,556.155362
6672.397024,50,556.249892
8905.184887,50,556.35318
7914.502905,50,556.452631
5183.75879,50,556.5626
6489.257828,50,556.664692
6790.868321,50,556.758993
