r,l,t
-21030.617,500,0
-21030.617,500,1
-21030.617,500,2
-21030.617,500,3
-21030.617,500,4
-21030.617,500,5
-21030.617,500,6
-21030.617,500,7
-21030.617,500,8
-21030.617,500,9
-21030.617,500,10
-21030.617,500,11
-21030.617,500,12
-21030.617,500,13
-21030.617,500,14
-21030.617,500,15
-21030.617,500,16
-21030.617,500,17
-21030.617,500,18
-21030.617,500,19
-21030.617,500,20
-21030.617,500,21
-21030.617,500,22
-21030.617,500,23
-21030.617,500,24
-21030.617,500,25
-21030.617,500,26
-21030.617,500,27
-21030.617,500,28
-21030.617,500,29
-21030.617,500,30
-21030.617,500,31
-21030.617,500,32
-21030.617,500,33
-21030.617,500,34
-21030.617,500,35
-21030.617,500,36
-21030.617,500,37
-21030.617,500,38
-21030.617,500,39
-21030.617,500,40
-21030.617,500,41
-21030.617,500,42
-21030.617,500,43
-21030.617,500,44
-21030.617,500,45
-21030.617,500,46
-21030.617,500,47
-21030.617,500,48
-21030.617,500,49
-21030.617,500,50
-21030.617,500,51
-21030.617,500,52
-21030.617,500,53
-21030.617,500,54
-21030.617,500,55
-21030.617,500,56
-21030.617,500,57
-21030.617,500,58
-21030.617,500,59
-21030.617,500,60
-21030.617,500,61
-21030.617,500,62
-21030.617,500,63
-21030.617,500,64
-21030.617,500,65
-21030.617,500,66
-21030.617,500,67
-21030.617,500,68
-21030.617,500,69
-21030.617,500,70
-21030.617,500,71
-21030.617,500,72
-21030.617,500,73
-21030.617,500,74
-21030.617,500,75
-21030.617,500,76
-21030.617,500,77
-21030.617,500,78
-21030.617,500,79
-21030.617,500,80
-21030.617,500,81
-21030.617,500,82
-21030.617,500,83
-21030.617,500,84
-21030.617,500,85
-21030.617,500,86
-21030.617,500,87
-21030.617,500,88
-21030.617,500,89
-21030.617,500,90
-21030.617,500,91
-21030.617,500,92
-21030.617,500,93
-21030.617,500,94
-21030.617,500,95
-21030.617,500,96
-21030.617,500,97
-21030.617,500,98
-21030.617,500,99
