episode,reward,length,timestep
0,3598.4263,50,50
1,3598.4263,50,100
2,3598.4263,50,150
3,3598.4263,50,200
4,3598.4263,50,250
5,3598.4263,50,300
6,3598.4263,50,350
7,3598.4263,50,400
8,3598.4263,50,450
9,3598.4263,50,500
10,3598.4263,50,550
11,3598.4263,50,600
12,3598.4263,50,650
13,3598.4263,50,700
14,3598.4263,50,750
15,3598.4263,50,800
16,3598.4263,50,850
17,3598.4263,50,900
18,3598.4263,50,950
19,3598.4263,50,1000
20,3598.4263,50,1050
21,3598.4263,50,1100
22,3598.4263,50,1150
23,3598.4263,50,1200
24,3598.4263,50,1250
25,3598.4263,50,1300
26,3598.4263,50,1350
27,3598.4263,50,1400
28,3598.4263,50,1450
29,3598.4263,50,1500
30,3598.4263,50,1550
31,3598.4263,50,1600
32,3598.4263,50,1650
33,3598.4263,50,1700
34,3598.4263,50,1750
35,3598.4263,50,1800
36,3598.4263,50,1850
37,3598.4263,50,1900
38,3598.4263,50,1950
39,3598.4263,50,2000
40,3598.4263,50,2050
41,3598.4263,50,2100
42,3598.4263,50,2150
43,3598.4263,50,2200
44,3598.4263,50,2250
45,3598.4263,50,2300
46,3598.4263,50,2350
47,3598.4263,50,2400
48,3598.4263,50,2450
49,3598.4263,50,2500
50,3598.4263,50,2550
51,3598.4263,50,2600
52,3598.4263,50,2650
53,3598.4263,50,2700
54,3598.4263,50,2750
55,3598.4263,50,2800
56,3598.4263,50,2850
57,3598.4263,50,2900
58,3598.4263,50,2950
59,3598.4263,50,3000
60,3598.4263,50,3050
61,3598.4263,50,3100
62,3598.4263,50,3150
63,3598.4263,50,3200
64,3598.4263,50,3250
65,3598.4263,50,3300
66,3598.4263,50,3350
67,3598.4263,50,3400
68,3598.4263,50,3450
69,3598.4263,50,3500
70,3598.4263,50,3550
71,3598.4263,50,3600
72,3598.4263,50,3650
73,3598.4263,50,3700
74,3598.4263,50,3750
75,3598.4263,50,3800
76,3598.4263,50,3850
77,3598.4263,50,3900
78,3598.4263,50,3950
79,3598.4263,50,4000
80,3598.4263,50,4050
81,3598.4263,50,4100
82,3598.4263,50,4150
83,3598.4263,50,4200
84,3598.4263,50,4250
85,3598.4263,50,4300
86,3598.4263,50,4350
87,3598.4263,50,4400
88,3598.4263,50,4450
89,3598.4263,50,4500
90,3598.4263,50,4550
91,3598.4263,50,4600
92,3598.4263,50,4650
93,3598.4263,50,4700
94,3598.4263,50,4750
95,3598.4263,50,4800
96,3598.4263,50,4850
97,3598.4263,50,4900
98,3598.4263,50,4950
99,3598.4263,50,5000
100,3598.4263,50,5050
101,3598.4263,50,5100
102,3598.4263,50,5150
103,3598.4263,50,5200
104,3598.4263,50,5250
105,3598.4263,50,5300
106,3598.4263,50,5350
107,3598.4263,50,5400
108,3598.4263,50,5450
109,3598.4263,50,5500
110,3598.4263,50,5550
111,3598.4263,50,5600
112,3598.4263,50,5650
113,3598.4263,50,5700
114,3598.4263,50,5750
115,3598.4263,50,5800
116,3598.4263,50,5850
117,3598.4263,50,5900
118,3598.4263,50,5950
119,3598.4263,50,6000
120,3598.4263,50,6050
121,3598.4263,50,6100
122,3598.4263,50,6150
123,3598.4263,50,6200
124,3598.4263,50,6250
125,3598.4263,50,6300
126,3598.4263,50,6350
127,3598.4263,50,6400
128,3598.4263,50,6450
129,3598.4263,50,6500
130,3598.4263,50,6550
131,3598.4263,50,6600
132,3598.4263,50,6650
133,3598.4263,50,6700
134,3598.4263,50,6750
135,3598.4263,50,6800
136,3598.4263,50,6850
137,3598.4263,50,6900
138,3598.4263,50,6950
139,3598.4263,50,7000
140,3598.4263,50,7050
141,3598.4263,50,7100
142,3598.4263,50,7150
143,3598.4263,50,7200
144,3598.4263,50,7250
145,3598.4263,50,7300
146,3598.4263,50,7350
147,3598.4263,50,7400
148,3598.4263,50,7450
149,3598.4263,50,7500
150,3598.4263,50,7550
151,3598.4263,50,7600
152,3598.4263,50,7650
153,3598.4263,50,7700
154,3598.4263,50,7750
155,3598.4263,50,7800
156,3598.4263,50,7850
157,3598.4263,50,7900
158,3598.4263,50,7950
159,3598.4263,50,8000
160,3598.4263,50,8050
161,3598.4263,50,8100
162,3598.4263,50,8150
163,3598.4263,50,8200
164,3598.4263,50,8250
165,3598.4263,50,8300
166,3598.4263,50,8350
167,3598.4263,50,8400
168,3598.4263,50,8450
169,3598.4263,50,8500
170,3598.4263,50,8550
171,3598.4263,50,8600
172,3598.4263,50,8650
173,3598.4263,50,8700
174,3598.4263,50,8750
175,3598.4263,50,8800
176,3598.4263,50,8850
177,3598.4263,50,8900
178,3598.4263,50,8950
179,3598.4263,50,9000
180,3598.4263,50,9050
181,3598.4263,50,9100
182,3598.4263,50,9150
183,3598.4263,50,9200
184,3598.4263,50,9250
185,3598.4263,50,9300
186,3598.4263,50,9350
187,3598.4263,50,9400
188,3598.4263,50,9450
189,3598.4263,50,9500
190,3598.4263,50,9550
191,3598.4263,50,9600
192,3598.4263,50,9650
193,3598.4263,50,9700
194,3598.4263,50,9750
195,3598.4263,50,9800
196,3598.4263,50,9850
197,3598.4263,50,9900
198,3598.4263,50,9950
199,3598.4263,50,10000
200,3598.4263,50,10050
201,3598.4263,50,10100
202,3598.4263,50,10150
203,3598.4263,50,10200
204,3598.4263,50,10250
205,3598.4263,50,10300
206,3598.4263,50,10350
207,3598.4263,50,10400
208,3598.4263,50,10450
209,3598.4263,50,10500
210,3598.4263,50,10550
211,3598.4263,50,10600
212,3598.4263,50,10650
213,3598.4263,50,10700
214,3598.4263,50,10750
215,3598.4263,50,10800
216,3598.4263,50,10850
217,3598.4263,50,10900
218,3598.4263,50,10950
219,3598.4263,50,11000
220,3598.4263,50,11050
221,3598.4263,50,11100
222,3598.4263,50,11150
223,3598.4263,50,11200
224,3598.4263,50,11250
225,3598.4263,50,11300
226,3598.4263,50,11350
227,3598.4263,50,11400
228,3598.4263,50,11450
229,3598.4263,50,11500
230,3598.4263,50,11550
231,3598.4263,50,11600
232,3598.4263,50,11650
233,3598.4263,50,11700
234,3598.4263,50,11750
235,3598.4263,50,11800
236,3598.4263,50,11850
237,3598.4263,50,11900
238,3598.4263,50,11950
239,3598.4263,50,12000
240,3598.4263,50,12050
241,3598.4263,50,12100
242,3598.4263,50,12150
243,3598.4263,50,12200
244,3598.4263,50,12250
245,3598.4263,50,12300
246,3598.4263,50,12350
247,3598.4263,50,12400
248,3598.4263,50,12450
249,3598.4263,50,12500
250,3598.4263,50,12550
251,3598.4263,50,12600
252,3598.4263,50,12650
253,3598.4263,50,12700
254,3598.4263,50,12750
255,3598.4263,50,12800
256,3598.4263,50,12850
257,3598.4263,50,12900
258,3598.4263,50,12950
259,3598.4263,50,13000
260,3598.4263,50,13050
261,3598.4263,50,13100
262,3598.4263,50,13150
263,3598.4263,50,13200
264,3598.4263,50,13250
265,3598.4263,50,13300
266,3598.4263,50,13350
267,3598.4263,50,13400
268,3598.4263,50,13450
269,3598.4263,50,13500
270,3598.4263,50,13550
271,3598.4263,50,13600
272,3598.4263,50,13650
273,3598.4263,50,13700
274,3598.4263,50,13750
275,3598.4263,50,13800
276,3598.4263,50,13850
277,3598.4263,50,13900
278,3598.4263,50,13950
279,3598.4263,50,14000
280,3598.4263,50,14050
281,3598.4263,50,14100
282,3598.4263,50,14150
283,3598.4263,50,14200
284,3598.4263,50,14250
285,3598.4263,50,14300
286,3598.4263,50,14350
287,3598.4263,50,14400
288,3598.4263,50,14450
289,3598.4263,50,14500
290,3598.4263,50,14550
291,3598.4263,50,14600
292,3598.4263,50,14650
293,3598.4263,50,14700
294,3598.4263,50,14750
295,3598.4263,50,14800
296,3598.4263,50,14850
297,3598.4263,50,14900
298,3598.4263,50,14950
299,3598.4263,50,15000
300,3598.4263,50,15050
301,3598.4263,50,15100
302,3598.4263,50,15150
303,3598.4263,50,15200
304,3598.4263,50,15250
305,3598.4263,50,15300
306,3598.4263,50,15350
307,3598.4263,50,15400
308,3598.4263,50,15450
309,3598.4263,50,15500
310,3598.4263,50,15550
311,3598.4263,50,15600
312,3598.4263,50,15650
313,3598.4263,50,15700
314,3598.4263,50,15750
315,3598.4263,50,15800
316,3598.4263,50,15850
317,3598.4263,50,15900
318,3598.4263,50,15950
319,3598.4263,50,16000
320,3598.4263,50,16050
321,3598.4263,50,16100
322,3598.4263,50,16150
323,3598.4263,50,16200
324,3598.4263,50,16250
325,3598.4263,50,16300
326,3598.4263,50,16350
327,3598.4263,50,16400
328,3598.4263,50,16450
329,3598.4263,50,16500
330,3598.4263,50,16550
331,3598.4263,50,16600
332,3598.4263,50,16650
333,3598.4263,50,16700
334,3598.4263,50,16750
335,3598.4263,50,16800
336,3598.4263,50,16850
337,3598.4263,50,16900
338,3598.4263,50,16950
339,3598.4263,50,17000
340,3598.4263,50,17050
341,3598.4263,50,17100
342,3598.4263,50,17150
343,3598.4263,50,17200
344,3598.4263,50,17250
345,3598.4263,50,17300
346,3598.4263,50,17350
347,3598.4263,50,17400
348,3598.4263,50,17450
349,3598.4263,50,17500
350,3598.4263,50,17550
351,3598.4263,50,17600
352,3598.4263,50,17650
353,3598.4263,50,17700
354,3598.4263,50,17750
355,3598.4263,50,17800
356,3598.4263,50,17850
357,3598.4263,50,17900
358,3598.4263,50,17950
359,3598.4263,50,18000
