episode,reward,length,time
0,8045.436479,50,2783.016212
1,5623.694044,50,2783.104064
2,7617.39912,50,2783.195186
3,8122.628299,50,2783.292967
4,9419.038581,50,2783.391653
5,9712.003972,50,2783.471856
6,8577.977382,50,2783.574837
7,5428.467451,50,2783.671784
8,11759.412383,50,2783.753602
9,3001.874277,50,2783.849217
10,9544.056227,50,2783.941224
11,8014.711893,50,2784.028938
12,9373.189751,50,2784.113699
13,10452.918352,50,2784.200837
14,12227.701468,50,2784.281218
15,6942.648269,50,2784.38219
16,10545.515156,50,2784.480022
17,11957.821617,50,2784.56326
18,9072.535968,50,2786.370495
19,1541.42839,50,2786.465571
20,7826.046511,50,2786.571986
21,8060.306172,50,2786.664993
22,7928.510928,50,2786.746201
23,10243.736689,50,2786.83256
24,8189.821649,50,2786.91713
25,2016.376747,50,2787.005993
26,6631.711014,50,2787.092055
27,10042.018881,50,2787.186245
28,11295.384241,50,2787.284248
29,9401.263247,50,2787.374209
30,10615.587643,50,2787.462746
31,11576.796411,50,2787.553918
32,5980.143417,50,2787.641356
33,3702.85937,50,2787.736885
34,9914.396935,50,2787.831732
35,10012.53712,50,2787.926953
36,8058.647869,50,2788.012914
37,12654.138105,50,2788.091873
38,9801.276743,50,2788.173505
39,11588.655841,50,2788.253072
40,10911.46652,50,2788.343676
41,5905.015756,50,2788.43148
42,8134.761977,50,2788.51831
43,6658.366885,50,2788.60467
44,8593.737749,50,2788.687644
45,6181.197787,50,2788.783479
46,9048.449102,50,2788.868428
47,9271.358548,50,2788.948019
48,10460.313452,50,2789.028377
49,7120.891242,50,2789.107606
50,11654.055014,50,2789.195789
51,9218.800922,50,2789.278418
52,4928.336515,50,2789.35883
53,9719.878589,50,2789.443529
54,10093.510204,50,2789.542384
55,6247.890305,50,2789.643061
56,7005.251623,50,2789.746626
57,2826.764796,50,2789.856167
58,6022.48274,50,2789.958404
59,6793.210382,50,2791.735756
60,9243.803179,50,2791.820706
61,12564.100116,50,2791.904351
62,10161.002216,50,2792.002625
63,10999.329747,50,2792.090289
64,8761.353728,50,2792.179602
65,-25.08392,50,2792.579414
66,11471.55116,50,2792.653252
67,9891.591097,50,2792.751212
68,12331.984215,50,2792.82834
69,8726.986867,50,2792.902231
70,8664.99815,50,2792.98998
71,5281.479771,50,2793.069589
72,10136.964562,50,2793.298121
73,9750.810999,50,2793.367955
74,5664.766108,50,2793.43958
75,10768.630887,50,2793.513965
76,11539.761085,50,2793.588737
77,611.986757,50,2793.665755
78,7632.136673,50,2793.739128
79,7621.718965,50,2793.815676
80,9078.303704,50,2793.920177
81,12695.453871,50,2794.023506
82,7456.651852,50,2794.131271
83,5448.183364,50,2794.233699
84,2916.273674,50,2794.326185
85,6040.538345,50,2794.419947
86,8438.54902,50,2794.517118
87,7179.955044,50,2794.621397
88,11177.121381,50,2794.698432
89,11423.093693,50,2794.786133
90,8505.890475,50,2794.868852
91,9990.245598,50,2794.949143
92,7985.305776,50,2795.034678
93,7975.264611,50,2795.129382
94,8561.26065,50,2795.209932
95,9093.904886,50,2795.289089
96,6946.444504,50,2795.376361
97,11262.306074,50,2795.463396
98,8703.067712,50,2795.54182
99,3396.602657,50,2795.631797
