episode,reward,length,time
0,49194.53614,500,2639.004788
1,44333.111864,500,2639.984826
2,48497.711829,500,2642.390556
3,41993.346738,500,2643.432259
4,49121.465983,500,2644.386902
5,42380.926845,500,2645.378628
6,45869.747075,500,2647.822269
7,41251.497603,500,2648.820989
8,45591.569794,500,2649.823529
9,45528.285191,500,2650.852359
10,38930.004929,500,2653.480864
11,43663.724196,500,2654.494884
12,47578.799323,500,2655.512896
13,42718.050637,500,2656.524137
14,44452.104022,500,2659.041124
15,47921.996234,500,2660.124461
16,43927.506322,500,2661.290508
17,42253.562453,500,2662.347418
18,39813.759983,500,2663.408849
19,41969.182148,500,2665.801857
20,49600.888683,500,2666.877313
21,42141.48364,500,2667.850726
22,50426.633464,500,2668.844645
23,43089.609285,500,2671.349006
24,43860.580328,500,2672.515328
25,36054.938695,500,2673.570283
26,45020.549905,500,2674.626706
27,43607.869879,500,2677.070633
28,42432.798199,500,2678.03224
29,37796.33463,500,2679.076646
30,49134.816359,500,2680.047073
31,47930.301651,500,2682.625994
32,48677.836189,500,2683.703681
33,49758.730093,500,2684.679916
34,45609.110726,500,2685.78344
35,47065.00246,500,2688.401729
36,46237.498193,500,2689.542932
37,48798.089316,500,2690.498543
38,36891.88541,500,2691.462008
39,46002.834187,500,2693.978704
40,48337.103983,500,2694.971237
41,45100.327953,500,2695.958635
42,49929.017315,500,2696.960331
43,49348.469739,500,2699.600334
44,47946.639503,500,2700.570112
45,37697.630932,500,2701.473685
46,48754.474823,500,2702.438434
47,46661.80335,500,2705.049736
48,44343.708752,500,2706.059607
49,39041.309116,500,2707.059059
50,47216.927696,500,2708.120706
51,48780.502095,500,2710.778679
52,45555.432241,500,2711.811427
53,46306.917054,500,2712.854392
54,46866.885611,500,2713.868688
55,48454.979352,500,2716.358047
56,33528.146468,500,2717.385037
57,40474.192087,500,2718.455713
58,40944.246537,500,2719.490921
59,43460.976591,500,2721.938823
60,46291.821021,500,2723.00649
61,46423.009731,500,2724.114639
62,48846.802341,500,2725.239757
63,41391.12187,500,2726.344931
64,47208.433128,500,2728.870754
65,46620.528377,500,2730.03681
66,43320.494883,500,2731.074945
67,45466.261757,500,2732.128656
68,49698.772273,500,2734.802415
69,46738.169452,500,2735.783231
70,38981.804488,500,2736.801094
71,49252.988393,500,2737.76978
72,38054.343899,500,2740.441488
73,39588.579122,500,2741.421664
74,49871.818323,500,2742.411682
75,49139.27291,500,2743.3677
76,47174.929232,500,2745.953632
77,49445.573978,500,2746.917397
78,49982.133563,500,2747.854694
79,49267.441534,500,2748.806111
80,46307.611361,500,2751.321074
81,47157.968994,500,2752.248333
82,50494.104626,500,2753.286718
83,50505.346325,500,2754.375986
84,49958.408687,500,2756.963319
85,39437.35783,500,2758.024247
86,38084.585535,500,2759.119164
87,49373.28047,500,2760.089286
88,48579.700125,500,2762.57855
89,49506.369206,500,2763.576651
90,47914.733243,500,2764.522519
91,44393.993203,500,2765.582842
92,48223.487027,500,2768.215214
93,36768.066026,500,2769.318043
94,48876.959894,500,2770.38389
95,46691.851754,500,2771.423608
96,45150.183026,500,2773.986776
97,48021.23015,500,2774.976819
98,47781.603568,500,2775.937522
99,45362.273416,500,2776.882095
